userID,itemID,rating
24326,4,8
8167,4,8
10402,5,5
1169,1,5
32748,4,8
24845,1,8
19984,3,3
25182,2,8
15547,5,3
13794,4,5
2487,3,3
11692,5,5
46421,5,8
51838,1,8
20076,3,3
19942,3,5
25182,3,3
5461,5,8
44397,1,8
2487,1,5
11854,1,5
17663,1,8
11927,1,5
45493,5,8
45269,2,5
17984,4,8
1169,4,8
32748,2,8
8178,4,8
32055,1,5
48559,2,8
45269,5,5
2077,1,5
11691,5,8
48687,5,8
46421,2,8
17663,2,8
5115,4,8
16569,3,1
21217,2,5
5272,3,8
45269,4,8
20848,3,5
6630,4,5
1169,5,8
38082,2,8
51460,2,5
9771,3,3
19724,4,8
29123,1,3
47730,4,8
24499,1,8
32305,1,8
5461,1,3
7001,3,5
49298,1,5
18361,1,5
51166,1,5
17434,3,5
5115,5,3
1952,5,8
6634,3,3
24389,1,5
17643,4,8
33872,1,8
47800,2,8
21487,2,8
30283,4,5
2900,5,8
39423,4,8
5436,4,8
42404,4,8
48559,4,8
10610,1,8
2324,4,8
4606,4,1
25214,1,5
50096,2,8
33716,2,8
46977,1,5
17228,4,8
7563,1,3
13794,2,1
50104,5,8
11927,2,8
26629,4,5
50096,3,8
49295,3,8
19526,5,5
25164,1,5
11692,4,8
43985,4,8
48687,3,1
43985,1,5
5379,1,8
30944,4,8
29703,4,8
32592,3,8
29703,5,8
16913,2,3
51838,5,5
50133,2,8
10246,1,5
26629,5,8
30681,2,5
32748,1,8
6630,5,3
27834,4,8
5115,3,5
36099,2,8
26145,1,5
11868,5,3
7001,5,8
51838,4,5
20467,5,5
22602,2,5
8167,5,5
10246,5,5
12874,4,8
44397,4,8
12946,3,5
33872,5,5
37834,3,5
14207,4,3
36099,4,8
13544,1,8
17228,5,8
32635,2,5
20406,4,3
28767,2,5
33716,1,8
52036,1,3
26661,5,8
20467,4,5
19729,5,5
11285,2,5
27834,5,5
12476,5,8
26145,2,5
27499,2,8
32923,5,8
28767,3,3
2324,5,8
22602,5,8
18313,3,8
37284,5,3
32635,3,5
21676,5,5
49298,5,3
17984,1,8
45493,2,8
6630,2,8
10944,5,3
37284,1,8
33716,5,5
47800,5,3
13776,4,5
47476,2,3
13282,2,8
22602,1,5
19526,2,5
6342,2,3
11408,2,8
47746,3,8
15604,4,3
21487,4,8
314,3,3
25840,4,3
25840,5,3
24326,3,3
32748,5,5
21676,2,8
36240,3,3
10249,3,8
11408,3,3
43602,3,5
17663,4,8
13034,4,5
44243,1,3
21228,4,3
6063,3,8
30681,1,8
32055,2,5
11868,2,8
18313,4,8
46482,5,8
21676,4,3
21733,2,8
2487,4,8
28767,4,8
